ref,cmd,family,rci,changes_settings,no_prefix,no_wipes_list,multiple_input,context,interface_type,args,required_args,source,entry
3.121.7,ntce filter profile group,ntce,/rci/ntce/filter/profile/group,yes,yes,no,no,,,name:String;group:String,name;group,05_commands_mws_ndns_opkg_services(1).md:1708,
3.121.8,ntce filter profile schedule,ntce,/rci/ntce/filter/profile/schedule,yes,yes,no,no,,,name:String;schedule:Schedule,name;schedule,05_commands_mws_ndns_opkg_services(1).md:1748,
3.121.9,ntce filter profile type,ntce,/rci/ntce/filter/profile/type,yes,no,no,no,,,name:String;type:Keyword,name;type,05_commands_mws_ndns_opkg_services(1).md:1789,
3.121.10,ntce memory-watcher,ntce,/rci/ntce/memory-watcher,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:1822,
3.121.11,ntce qos category priority,ntce,/rci/ntce/qos/category/priority,yes,yes,no,no,,,category:Keyword;priority:Integer,category;priority,05_commands_mws_ndns_opkg_services(1).md:1857,
3.121.12,ntce qos enable,ntce,/rci/ntce/qos/enable,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:1904,
3.121.13,ntce upstream rate-limit input,ntce,/rci/ntce/upstream/rate-limit/input,yes,yes,no,no,,,interface:Interface;rate:Integer;auto:Keyword,interface;rate,05_commands_mws_ndns_opkg_services(1).md:1939,
3.121.14,ntce upstream rate-limit output,ntce,/rci/ntce/upstream/rate-limit/output,yes,yes,no,no,,,interface:Interface;rate:Integer;auto:Keyword,interface;rate,05_commands_mws_ndns_opkg_services(1).md:1984,
3.122,ntp,ntp,/rci/ntp,no,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:2029,entries/ntp.md
3.123,ntp master,ntp,/rci/ntp/master,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:2055,entries/ntp.md
3.124,ntp server,ntp,/rci/ntp/server,yes,yes,yes,yes,,,server:String,server,05_commands_mws_ndns_opkg_services(1).md:2090,entries/ntp.md
3.125,ntp source,ntp,/rci/ntp/source,yes,yes,no,yes,,,address:IP address,address,05_commands_mws_ndns_opkg_services(1).md:2129,entries/ntp.md
3.126,ntp sync-period,ntp,/rci/ntp/sync-period,yes,yes,no,no,,,period:Integer,period,05_commands_mws_ndns_opkg_services(1).md:2167,entries/ntp.md
3.127,object-group fqdn,object-group,/rci/object-group/fqdn,yes,yes,no,yes,(config-ogrp-fqdn),IP,name:String,name,05_commands_mws_ndns_opkg_services(1).md:2207,entries/object-group.md
3.127.1,object-group fqdn exclude,object-group,/rci/object-group/fqdn/exclude,yes,yes,yes,yes,,,address:String,address,05_commands_mws_ndns_opkg_services(1).md:2249,entries/object-group.md
3.127.2,object-group fqdn include,object-group,/rci/object-group/fqdn/include,yes,yes,yes,yes,,,address:String,address,05_commands_mws_ndns_opkg_services(1).md:2330,entries/object-group.md
3.128,object-group ip,object-group,/rci/object-group/ip,yes,yes,no,yes,(config-ogrp-ip),IP,name:String,name,05_commands_mws_ndns_opkg_services(1).md:2409,entries/object-group.md
3.128.1,object-group ip exclude,object-group,/rci/object-group/ip/exclude,yes,yes,no,yes,,,proto:Keyword;address:String;port:Integer;end-port:Integer,proto;address,05_commands_mws_ndns_opkg_services(1).md:2452,entries/object-group.md
3.128.2,object-group ip include,object-group,/rci/object-group/ip/include,yes,yes,no,yes,,,proto:Keyword;address:String;port:Integer;end-port:Integer,proto;address,05_commands_mws_ndns_opkg_services(1).md:2508,entries/object-group.md
3.129,oc-server,oc-server,/rci/oc-server,no,no,no,no,(oc-server),,,,05_commands_mws_ndns_opkg_services(1).md:2564,entries/oc-server.md
3.129.1,oc-server camouflage,oc-server,/rci/oc-server/camouflage,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:2588,
3.129.2,oc-server debug,oc-server,/rci/oc-server/debug,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:2624,
3.129.3,oc-server interface,oc-server,/rci/oc-server/interface,yes,yes,no,no,,,interface:Interface,interface,05_commands_mws_ndns_opkg_services(1).md:2659,
3.129.4,oc-server mtu,oc-server,/rci/oc-server/mtu,yes,yes,no,no,,,value:Integer,value,05_commands_mws_ndns_opkg_services(1).md:2699,
3.129.5,oc-server multi-login,oc-server,/rci/oc-server/multi-login,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:2739,
3.129.6,oc-server pool-range,oc-server,/rci/oc-server/pool-range,yes,yes,no,no,,,begin:IP address;size:Integer,begin,05_commands_mws_ndns_opkg_services(1).md:2773,
3.129.7,oc-server route,oc-server,/rci/oc-server/route,yes,yes,yes,yes,,,address:IP address;mask:IP-mask,address;mask,05_commands_mws_ndns_opkg_services(1).md:2817,entries/oc-server.md
3.129.8,oc-server session-logout,oc-server,/rci/oc-server/session-logout,yes,no,no,no,,,session:Integer,session,05_commands_mws_ndns_opkg_services(1).md:2866,
3.129.9,oc-server session-preempt,oc-server,/rci/oc-server/session-preempt,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:2896,
3.129.10,oc-server static-ip,oc-server,/rci/oc-server/static-ip,yes,yes,no,yes,,,name:String;address:IP address,name;address,05_commands_mws_ndns_opkg_services(1).md:2931,
3.130,opkg chroot,opkg,/rci/opkg/chroot,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:2971,entries/opkg.md
3.131,opkg disk,opkg,/rci/opkg/disk,yes,yes,no,no,,,disk:String;url:String,disk,05_commands_mws_ndns_opkg_services(1).md:3005,entries/opkg.md
3.132,opkg dns-override,opkg,/rci/opkg/dns-override,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:3057,entries/opkg.md
3.133,opkg initrc,opkg,/rci/opkg/initrc,yes,yes,no,no,,,path:Filename,path,05_commands_mws_ndns_opkg_services(1).md:3093,entries/opkg.md
